,,Initial (AGL),Initial,Final (AGL),Final,Conjunct (AGL),Conjunct,Initial Unicode,Halant Unicode,Final Unicode,,Name (AGL),Name,Prod. Name,Notes,GlyphData.xml,
gujarati,uni,G,g,DDHa,ddha,GDDHa,g_ddha,0A97,0ACD,0AA2,0A970ACD0AA2,gjGDDHa,g_ddha-gujarati,uni0A970ACD0AA2,/,,
gujarati,uni,G,g,NNa,nna,GNNa,g_nna,0A97,0ACD,0AA3,0A970ACD0AA3,gjGNNa,g_nna-gujarati,uni0A970ACD0AA3,/,,
gujarati,uni,G,g,Ta,ta,GTa,g_ta,0A97,0ACD,0AA4,0A970ACD0AA4,gjGTa,g_ta-gujarati,uni0A970ACD0AA4,Half form,,
gujarati,uni,G,g,THa,tha,GTHa,g_tha,0A97,0ACD,0AA5,0A970ACD0AA5,gjGTHa,g_tha-gujarati,uni0A970ACD0AA5,/,,
gujarati,uni,G,g,Da,da,GDa,g_da,0A97,0ACD,0AA6,0A970ACD0AA6,gjGDa,g_da-gujarati,uni0A970ACD0AA6,Half form,,
gujarati,uni,G,g,DHa,dha,GDHa,g_dha,0A97,0ACD,0AA7,0A970ACD0AA7,gjGDHa,g_dha-gujarati,uni0A970ACD0AA7,/,,
gujarati,uni,G,g,Na,na,GNa,g_na,0A97,0ACD,0AA8,0A970ACD0AA8,gjGNa,g_na-gujarati,uni0A970ACD0AA8,Composite,"<glyph name=""g_na-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A970ACD0AA8"" altnames=""gjGNa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,G,g,Pa,pa,GPa,g_pa,0A97,0ACD,0AAA,0A970ACD0AAA,gjGPa,g_pa-gujarati,uni0A970ACD0AAA,Half form,,
gujarati,uni,G,g,PHa,pha,GPHa,g_pha,0A97,0ACD,0AAB,0A970ACD0AAB,gjGPHa,g_pha-gujarati,uni0A970ACD0AAB,/,,
gujarati,uni,G,g,Ba,ba,GBa,g_ba,0A97,0ACD,0AAC,0A970ACD0AAC,gjGBa,g_ba-gujarati,uni0A970ACD0AAC,Half form,,
gujarati,uni,G,g,BHa,bha,GBHa,g_bha,0A97,0ACD,0AAD,0A970ACD0AAD,gjGBHa,g_bha-gujarati,uni0A970ACD0AAD,/,,
gujarati,uni,G,g,Ma,ma,GMa,g_ma,0A97,0ACD,0AAE,0A970ACD0AAE,gjGMa,g_ma-gujarati,uni0A970ACD0AAE,Half Form,,
gujarati,uni,G,g,Ya,ya,GYa,g_ya,0A97,0ACD,0AAF,0A970ACD0AAF,gjGYa,g_ya-gujarati,uni0A970ACD0AAF,Half Form,,
gujarati,uni,G,g,Ra,ra,GRa,g_ra,0A97,0ACD,0AB0,0A970ACD0AB0,gjGRa,g_ra-gujarati,uni0A970ACD0AB0,Composite,"<glyph name=""g_ra-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A970ACD0AB0"" altnames=""gjGRa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,G,g,La,la,GLa,g_la,0A97,0ACD,0AB2,0A970ACD0AB2,gjGLa,g_la-gujarati,uni0A970ACD0AB2,Half form,,
gujarati,uni,G,g,LLa,lla,GLLa,g_lla,0A97,0ACD,0AB3,0A970ACD0AB3,gjGLLa,g_lla-gujarati,uni0A970ACD0AB3,/,,
gujarati,uni,G,g,Va,va,GVa,g_va,0A97,0ACD,0AB5,0A970ACD0AB5,gjGVa,g_va-gujarati,uni0A970ACD0AB5,Half form,,
gujarati,uni,G,g,SHa,sha,GSHa,g_sha,0A97,0ACD,0AB6,0A970ACD0AB6,gjGSHa,g_sha-gujarati,uni0A970ACD0AB6,/,,
gujarati,uni,G,g,SSa,ssa,GSSa,g_ssa,0A97,0ACD,0AB7,0A970ACD0AB7,gjGSSa,g_ssa-gujarati,uni0A970ACD0AB7,/,,
gujarati,uni,G,g,Sa,sa,GSa,g_sa,0A97,0ACD,0AB8,0A970ACD0AB8,gjGSa,g_sa-gujarati,uni0A970ACD0AB8,/,,
gujarati,uni,G,g,Ha,ha,GHa,g_ha,0A97,0ACD,0AB9,0A970ACD0AB9,gjGHa,g_ha-gujarati,uni0A970ACD0AB9,/,,
,,,,,,,_,,,,,gj,_-,,,,
gujarati,uni,GH,gh,Ka,ka,GHKa,gh_ka,0A98,0ACD,0A95,0A980ACD0A95,gjGHKa,gh_ka-gujarati,uni0A980ACD0A95,/,,
gujarati,uni,GH,gh,KHa,kha,GHKHa,gh_kha,0A98,0ACD,0A96,0A980ACD0A96,gjGHKHa,gh_kha-gujarati,uni0A980ACD0A96,/,,
gujarati,uni,GH,gh,Ga,ga,GHGa,gh_ga,0A98,0ACD,0A97,0A980ACD0A97,gjGHGa,gh_ga-gujarati,uni0A980ACD0A97,/,,
gujarati,uni,GH,gh,GHa,gha,GHGHa,gh_gha,0A98,0ACD,0A98,0A980ACD0A98,gjGHGHa,gh_gha-gujarati,uni0A980ACD0A98,/,,
gujarati,uni,GH,gh,NGa,nga,GHNGa,gh_nga,0A98,0ACD,0A99,0A980ACD0A99,gjGHNGa,gh_nga-gujarati,uni0A980ACD0A99,/,,
gujarati,uni,GH,gh,Ca,ca,GHCa,gh_ca,0A98,0ACD,0A9A,0A980ACD0A9A,gjGHCa,gh_ca-gujarati,uni0A980ACD0A9A,/,,
gujarati,uni,GH,gh,CHa,cha,GHCHa,gh_cha,0A98,0ACD,0A9B,0A980ACD0A9B,gjGHCHa,gh_cha-gujarati,uni0A980ACD0A9B,/,,
gujarati,uni,GH,gh,Ja,ja,GHJa,gh_ja,0A98,0ACD,0A9C,0A980ACD0A9C,gjGHJa,gh_ja-gujarati,uni0A980ACD0A9C,/,,
gujarati,uni,GH,gh,JHa,jha,GHJHa,gh_jha,0A98,0ACD,0A9D,0A980ACD0A9D,gjGHJHa,gh_jha-gujarati,uni0A980ACD0A9D,/,,
gujarati,uni,GH,gh,NYa,nya,GHNYa,gh_nya,0A98,0ACD,0A9E,0A980ACD0A9E,gjGHNYa,gh_nya-gujarati,uni0A980ACD0A9E,/,,
gujarati,uni,GH,gh,TTa,tta,GHTTa,gh_tta,0A98,0ACD,0A9F,0A980ACD0A9F,gjGHTTa,gh_tta-gujarati,uni0A980ACD0A9F,/,,
gujarati,uni,GH,gh,TTHa,ttha,GHTTHa,gh_ttha,0A98,0ACD,0AA0,0A980ACD0AA0,gjGHTTHa,gh_ttha-gujarati,uni0A980ACD0AA0,/,,
gujarati,uni,GH,gh,DDa,dda,GHDDa,gh_dda,0A98,0ACD,0AA1,0A980ACD0AA1,gjGHDDa,gh_dda-gujarati,uni0A980ACD0AA1,/,,
gujarati,uni,GH,gh,DDHa,ddha,GHDDHa,gh_ddha,0A98,0ACD,0AA2,0A980ACD0AA2,gjGHDDHa,gh_ddha-gujarati,uni0A980ACD0AA2,/,,
gujarati,uni,GH,gh,NNa,nna,GHNNa,gh_nna,0A98,0ACD,0AA3,0A980ACD0AA3,gjGHNNa,gh_nna-gujarati,uni0A980ACD0AA3,/,,
gujarati,uni,GH,gh,Ta,ta,GHTa,gh_ta,0A98,0ACD,0AA4,0A980ACD0AA4,gjGHTa,gh_ta-gujarati,uni0A980ACD0AA4,/,,
gujarati,uni,GH,gh,THa,tha,GHTHa,gh_tha,0A98,0ACD,0AA5,0A980ACD0AA5,gjGHTHa,gh_tha-gujarati,uni0A980ACD0AA5,/,,
gujarati,uni,GH,gh,Da,da,GHDa,gh_da,0A98,0ACD,0AA6,0A980ACD0AA6,gjGHDa,gh_da-gujarati,uni0A980ACD0AA6,/,,
gujarati,uni,GH,gh,DHa,dha,GHDHa,gh_dha,0A98,0ACD,0AA7,0A980ACD0AA7,gjGHDHa,gh_dha-gujarati,uni0A980ACD0AA7,/,,
gujarati,uni,GH,gh,Na,na,GHNa,gh_na,0A98,0ACD,0AA8,0A980ACD0AA8,gjGHNa,gh_na-gujarati,uni0A980ACD0AA8,Composite,"<glyph name=""gh_na-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A980ACD0AA8"" altnames=""gjGHNa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,GH,gh,Pa,pa,GHPa,gh_pa,0A98,0ACD,0AAA,0A980ACD0AAA,gjGHPa,gh_pa-gujarati,uni0A980ACD0AAA,/,,
gujarati,uni,GH,gh,PHa,pha,GHPHa,gh_pha,0A98,0ACD,0AAB,0A980ACD0AAB,gjGHPHa,gh_pha-gujarati,uni0A980ACD0AAB,/,,
gujarati,uni,GH,gh,Ba,ba,GHBa,gh_ba,0A98,0ACD,0AAC,0A980ACD0AAC,gjGHBa,gh_ba-gujarati,uni0A980ACD0AAC,Half form,,
gujarati,uni,GH,gh,BHa,bha,GHBHa,gh_bha,0A98,0ACD,0AAD,0A980ACD0AAD,gjGHBHa,gh_bha-gujarati,uni0A980ACD0AAD,/,,
gujarati,uni,GH,gh,Ma,ma,GHMa,gh_ma,0A98,0ACD,0AAE,0A980ACD0AAE,gjGHMa,gh_ma-gujarati,uni0A980ACD0AAE,Half form,,
gujarati,uni,GH,gh,Ya,ya,GHYa,gh_ya,0A98,0ACD,0AAF,0A980ACD0AAF,gjGHYa,gh_ya-gujarati,uni0A980ACD0AAF,Half form,,
gujarati,uni,GH,gh,Ra,ra,GHRa,gh_ra,0A98,0ACD,0AB0,0A980ACD0AB0,gjGHRa,gh_ra-gujarati,uni0A980ACD0AB0,Composite,"<glyph name=""gh_ra-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A980ACD0AB0"" altnames=""gjGHRa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,GH,gh,La,la,GHLa,gh_la,0A98,0ACD,0AB2,0A980ACD0AB2,gjGHLa,gh_la-gujarati,uni0A980ACD0AB2,/,,
gujarati,uni,GH,gh,LLa,lla,GHLLa,gh_lla,0A98,0ACD,0AB3,0A980ACD0AB3,gjGHLLa,gh_lla-gujarati,uni0A980ACD0AB3,/,,
gujarati,uni,GH,gh,Va,va,GHVa,gh_va,0A98,0ACD,0AB5,0A980ACD0AB5,gjGHVa,gh_va-gujarati,uni0A980ACD0AB5,/,,
gujarati,uni,GH,gh,SHa,sha,GHSHa,gh_sha,0A98,0ACD,0AB6,0A980ACD0AB6,gjGHSHa,gh_sha-gujarati,uni0A980ACD0AB6,/,,
gujarati,uni,GH,gh,SSa,ssa,GHSSa,gh_ssa,0A98,0ACD,0AB7,0A980ACD0AB7,gjGHSSa,gh_ssa-gujarati,uni0A980ACD0AB7,/,,
gujarati,uni,GH,gh,Sa,sa,GHSa,gh_sa,0A98,0ACD,0AB8,0A980ACD0AB8,gjGHSa,gh_sa-gujarati,uni0A980ACD0AB8,/,,
gujarati,uni,GH,gh,Ha,ha,GHHa,gh_ha,0A98,0ACD,0AB9,0A980ACD0AB9,gjGHHa,gh_ha-gujarati,uni0A980ACD0AB9,/,,
,,,,,,,,,,,,,,,,,
gujarati,uni,NG,ng,Ka,ka,NGKa,ng_ka,0A99,0ACD,0A95,0A990ACD0A95,gjNGKa,ng_ka-gujarati,uni0A990ACD0A95,Composite,"<glyph name=""ng_ka-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A990ACD0A95"" altnames=""gjNGKa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,NG,ng,KHa,kha,NGKHa,ng_kha,0A99,0ACD,0A96,0A990ACD0A96,gjNGKHa,ng_kha-gujarati,uni0A990ACD0A96,/,,
gujarati,uni,NG,ng,Ga,ga,NGGa,ng_ga,0A99,0ACD,0A97,0A990ACD0A97,gjNGGa,ng_ga-gujarati,uni0A990ACD0A97,Composite,"<glyph name=""ng_ga-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A990ACD0A97"" altnames=""gjNGGa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,NG,ng,GHa,gha,NGGHa,ng_gha,0A99,0ACD,0A98,0A990ACD0A98,gjNGGHa,ng_gha-gujarati,uni0A990ACD0A98,Composite,"<glyph name=""ng_gha-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A990ACD0A98"" altnames=""gjNGGHa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,NG,ng,NGa,nga,NGNGa,ng_nga,0A99,0ACD,0A99,0A990ACD0A99,gjNGNGa,ng_nga-gujarati,uni0A990ACD0A99,/,,
gujarati,uni,NG,ng,Ca,ca,NGCa,ng_ca,0A99,0ACD,0A9A,0A990ACD0A9A,gjNGCa,ng_ca-gujarati,uni0A990ACD0A9A,/,,
gujarati,uni,NG,ng,CHa,cha,NGCHa,ng_cha,0A99,0ACD,0A9B,0A990ACD0A9B,gjNGCHa,ng_cha-gujarati,uni0A990ACD0A9B,/,,
gujarati,uni,NG,ng,Ja,ja,NGJa,ng_ja,0A99,0ACD,0A9C,0A990ACD0A9C,gjNGJa,ng_ja-gujarati,uni0A990ACD0A9C,/,,
gujarati,uni,NG,ng,JHa,jha,NGJHa,ng_jha,0A99,0ACD,0A9D,0A990ACD0A9D,gjNGJHa,ng_jha-gujarati,uni0A990ACD0A9D,/,,
gujarati,uni,NG,ng,NYa,nya,NGNYa,ng_nya,0A99,0ACD,0A9E,0A990ACD0A9E,gjNGNYa,ng_nya-gujarati,uni0A990ACD0A9E,/,,
gujarati,uni,NG,ng,TTa,tta,NGTTa,ng_tta,0A99,0ACD,0A9F,0A990ACD0A9F,gjNGTTa,ng_tta-gujarati,uni0A990ACD0A9F,/,,
gujarati,uni,NG,ng,TTHa,ttha,NGTTHa,ng_ttha,0A99,0ACD,0AA0,0A990ACD0AA0,gjNGTTHa,ng_ttha-gujarati,uni0A990ACD0AA0,/,,
gujarati,uni,NG,ng,DDa,dda,NGDDa,ng_dda,0A99,0ACD,0AA1,0A990ACD0AA1,gjNGDDa,ng_dda-gujarati,uni0A990ACD0AA1,/,,
gujarati,uni,NG,ng,DDHa,ddha,NGDDHa,ng_ddha,0A99,0ACD,0AA2,0A990ACD0AA2,gjNGDDHa,ng_ddha-gujarati,uni0A990ACD0AA2,/,,
gujarati,uni,NG,ng,NNa,nna,NGNNa,ng_nna,0A99,0ACD,0AA3,0A990ACD0AA3,gjNGNNa,ng_nna-gujarati,uni0A990ACD0AA3,/,,
gujarati,uni,NG,ng,Ta,ta,NGTa,ng_ta,0A99,0ACD,0AA4,0A990ACD0AA4,gjNGTa,ng_ta-gujarati,uni0A990ACD0AA4,/,,
gujarati,uni,NG,ng,THa,tha,NGTHa,ng_tha,0A99,0ACD,0AA5,0A990ACD0AA5,gjNGTHa,ng_tha-gujarati,uni0A990ACD0AA5,/,,
gujarati,uni,NG,ng,Da,da,NGDa,ng_da,0A99,0ACD,0AA6,0A990ACD0AA6,gjNGDa,ng_da-gujarati,uni0A990ACD0AA6,/,,
gujarati,uni,NG,ng,DHa,dha,NGDHa,ng_dha,0A99,0ACD,0AA7,0A990ACD0AA7,gjNGDHa,ng_dha-gujarati,uni0A990ACD0AA7,/,,
gujarati,uni,NG,ng,Na,na,NGNa,ng_na,0A99,0ACD,0AA8,0A990ACD0AA8,gjNGNa,ng_na-gujarati,uni0A990ACD0AA8,/,,
gujarati,uni,NG,ng,Pa,pa,NGPa,ng_pa,0A99,0ACD,0AAA,0A990ACD0AAA,gjNGPa,ng_pa-gujarati,uni0A990ACD0AAA,/,,
gujarati,uni,NG,ng,PHa,pha,NGPHa,ng_pha,0A99,0ACD,0AAB,0A990ACD0AAB,gjNGPHa,ng_pha-gujarati,uni0A990ACD0AAB,/,,
gujarati,uni,NG,ng,Ba,ba,NGBa,ng_ba,0A99,0ACD,0AAC,0A990ACD0AAC,gjNGBa,ng_ba-gujarati,uni0A990ACD0AAC,/,,
gujarati,uni,NG,ng,BHa,bha,NGBHa,ng_bha,0A99,0ACD,0AAD,0A990ACD0AAD,gjNGBHa,ng_bha-gujarati,uni0A990ACD0AAD,/,,
gujarati,uni,NG,ng,Ma,ma,NGMa,ng_ma,0A99,0ACD,0AAE,0A990ACD0AAE,gjNGMa,ng_ma-gujarati,uni0A990ACD0AAE,Composite,"<glyph name=""ng_ma-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A990ACD0AAE"" altnames=""gjNGMa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,NG,ng,Ya,ya,NGYa,ng_ya,0A99,0ACD,0AAF,0A990ACD0AAF,gjNGYa,ng_ya-gujarati,uni0A990ACD0AAF,Composite,"<glyph name=""ng_ya-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A990ACD0AAF"" altnames=""gjNGYa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,NG,ng,Ra,ra,NGRa,ng_ra,0A99,0ACD,0AB0,0A990ACD0AB0,gjNGRa,ng_ra-gujarati,uni0A990ACD0AB0,/,,
gujarati,uni,NG,ng,La,la,NGLa,ng_la,0A99,0ACD,0AB2,0A990ACD0AB2,gjNGLa,ng_la-gujarati,uni0A990ACD0AB2,/,,
gujarati,uni,NG,ng,LLa,lla,NGLLa,ng_lla,0A99,0ACD,0AB3,0A990ACD0AB3,gjNGLLa,ng_lla-gujarati,uni0A990ACD0AB3,/,,
gujarati,uni,NG,ng,Va,va,NGVa,ng_va,0A99,0ACD,0AB5,0A990ACD0AB5,gjNGVa,ng_va-gujarati,uni0A990ACD0AB5,/,,
gujarati,uni,NG,ng,SHa,sha,NGSHa,ng_sha,0A99,0ACD,0AB6,0A990ACD0AB6,gjNGSHa,ng_sha-gujarati,uni0A990ACD0AB6,/,,
gujarati,uni,NG,ng,SSa,ssa,NGSSa,ng_ssa,0A99,0ACD,0AB7,0A990ACD0AB7,gjNGSSa,ng_ssa-gujarati,uni0A990ACD0AB7,/,,
gujarati,uni,NG,ng,Sa,sa,NGSa,ng_sa,0A99,0ACD,0AB8,0A990ACD0AB8,gjNGSa,ng_sa-gujarati,uni0A990ACD0AB8,/,,
gujarati,uni,NG,ng,Ha,ha,NGHa,ng_ha,0A99,0ACD,0AB9,0A990ACD0AB9,gjNGHa,ng_ha-gujarati,uni0A990ACD0AB9,/,,
,,,,,,,,,,,,,,,,,
gujarati,uni,C,c,Ka,ka,CKa,c_ka,0A9A,0ACD,0A95,0A9A0ACD0A95,gjCKa,c_ka-gujarati,uni0A9A0ACD0A95,/,,
gujarati,uni,C,c,KHa,kha,CKHa,c_kha,0A9A,0ACD,0A96,0A9A0ACD0A96,gjCKHa,c_kha-gujarati,uni0A9A0ACD0A96,/,,
gujarati,uni,C,c,Ga,ga,CGa,c_ga,0A9A,0ACD,0A97,0A9A0ACD0A97,gjCGa,c_ga-gujarati,uni0A9A0ACD0A97,/,,
gujarati,uni,C,c,GHa,gha,CGHa,c_gha,0A9A,0ACD,0A98,0A9A0ACD0A98,gjCGHa,c_gha-gujarati,uni0A9A0ACD0A98,/,,
gujarati,uni,C,c,NGa,nga,CNGa,c_nga,0A9A,0ACD,0A99,0A9A0ACD0A99,gjCNGa,c_nga-gujarati,uni0A9A0ACD0A99,/,,
gujarati,uni,C,c,Ca,ca,CCa,c_ca,0A9A,0ACD,0A9A,0A9A0ACD0A9A,gjCCa,c_ca-gujarati,uni0A9A0ACD0A9A,Half form,,
gujarati,uni,C,c,CHa,cha,CCHa,c_cha,0A9A,0ACD,0A9B,0A9A0ACD0A9B,gjCCHa,c_cha-gujarati,uni0A9A0ACD0A9B,/,,
gujarati,uni,C,c,Ja,ja,CJa,c_ja,0A9A,0ACD,0A9C,0A9A0ACD0A9C,gjCJa,c_ja-gujarati,uni0A9A0ACD0A9C,/,,
gujarati,uni,C,c,JHa,jha,CJHa,c_jha,0A9A,0ACD,0A9D,0A9A0ACD0A9D,gjCJHa,c_jha-gujarati,uni0A9A0ACD0A9D,/,,
gujarati,uni,C,c,NYa,nya,CNYa,c_nya,0A9A,0ACD,0A9E,0A9A0ACD0A9E,gjCNYa,c_nya-gujarati,uni0A9A0ACD0A9E,/,,
gujarati,uni,C,c,TTa,tta,CTTa,c_tta,0A9A,0ACD,0A9F,0A9A0ACD0A9F,gjCTTa,c_tta-gujarati,uni0A9A0ACD0A9F,/,,
gujarati,uni,C,c,TTHa,ttha,CTTHa,c_ttha,0A9A,0ACD,0AA0,0A9A0ACD0AA0,gjCTTHa,c_ttha-gujarati,uni0A9A0ACD0AA0,/,,
gujarati,uni,C,c,DDa,dda,CDDa,c_dda,0A9A,0ACD,0AA1,0A9A0ACD0AA1,gjCDDa,c_dda-gujarati,uni0A9A0ACD0AA1,/,,
gujarati,uni,C,c,DDHa,ddha,CDDHa,c_ddha,0A9A,0ACD,0AA2,0A9A0ACD0AA2,gjCDDHa,c_ddha-gujarati,uni0A9A0ACD0AA2,/,,
gujarati,uni,C,c,NNa,nna,CNNa,c_nna,0A9A,0ACD,0AA3,0A9A0ACD0AA3,gjCNNa,c_nna-gujarati,uni0A9A0ACD0AA3,/,,
gujarati,uni,C,c,Ta,ta,CTa,c_ta,0A9A,0ACD,0AA4,0A9A0ACD0AA4,gjCTa,c_ta-gujarati,uni0A9A0ACD0AA4,/,,
gujarati,uni,C,c,THa,tha,CTHa,c_tha,0A9A,0ACD,0AA5,0A9A0ACD0AA5,gjCTHa,c_tha-gujarati,uni0A9A0ACD0AA5,/,,
gujarati,uni,C,c,Da,da,CDa,c_da,0A9A,0ACD,0AA6,0A9A0ACD0AA6,gjCDa,c_da-gujarati,uni0A9A0ACD0AA6,/,,
gujarati,uni,C,c,DHa,dha,CDHa,c_dha,0A9A,0ACD,0AA7,0A9A0ACD0AA7,gjCDHa,c_dha-gujarati,uni0A9A0ACD0AA7,/,,
gujarati,uni,C,c,Na,na,CNa,c_na,0A9A,0ACD,0AA8,0A9A0ACD0AA8,gjCNa,c_na-gujarati,uni0A9A0ACD0AA8,Composite,"<glyph name=""c_na-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A9A0ACD0AA8"" altnames=""gjCNa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,C,c,Pa,pa,CPa,c_pa,0A9A,0ACD,0AAA,0A9A0ACD0AAA,gjCPa,c_pa-gujarati,uni0A9A0ACD0AAA,/,,
gujarati,uni,C,c,PHa,pha,CPHa,c_pha,0A9A,0ACD,0AAB,0A9A0ACD0AAB,gjCPHa,c_pha-gujarati,uni0A9A0ACD0AAB,/,,
gujarati,uni,C,c,Ba,ba,CBa,c_ba,0A9A,0ACD,0AAC,0A9A0ACD0AAC,gjCBa,c_ba-gujarati,uni0A9A0ACD0AAC,/,,
gujarati,uni,C,c,BHa,bha,CBHa,c_bha,0A9A,0ACD,0AAD,0A9A0ACD0AAD,gjCBHa,c_bha-gujarati,uni0A9A0ACD0AAD,/,,
gujarati,uni,C,c,Ma,ma,CMa,c_ma,0A9A,0ACD,0AAE,0A9A0ACD0AAE,gjCMa,c_ma-gujarati,uni0A9A0ACD0AAE,/,,
gujarati,uni,C,c,Ya,ya,CYa,c_ya,0A9A,0ACD,0AAF,0A9A0ACD0AAF,gjCYa,c_ya-gujarati,uni0A9A0ACD0AAF,/,,
gujarati,uni,C,c,Ra,ra,CRa,c_ra,0A9A,0ACD,0AB0,0A9A0ACD0AB0,gjCRa,c_ra-gujarati,uni0A9A0ACD0AB0,Composite,"<glyph name=""c_ra-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A9A0ACD0AB0"" altnames=""gjCRa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,C,c,La,la,CLa,c_la,0A9A,0ACD,0AB2,0A9A0ACD0AB2,gjCLa,c_la-gujarati,uni0A9A0ACD0AB2,/,,
gujarati,uni,C,c,LLa,lla,CLLa,c_lla,0A9A,0ACD,0AB3,0A9A0ACD0AB3,gjCLLa,c_lla-gujarati,uni0A9A0ACD0AB3,/,,
gujarati,uni,C,c,Va,va,CVa,c_va,0A9A,0ACD,0AB5,0A9A0ACD0AB5,gjCVa,c_va-gujarati,uni0A9A0ACD0AB5,/,,
gujarati,uni,C,c,SHa,sha,CSHa,c_sha,0A9A,0ACD,0AB6,0A9A0ACD0AB6,gjCSHa,c_sha-gujarati,uni0A9A0ACD0AB6,/,,
gujarati,uni,C,c,SSa,ssa,CSSa,c_ssa,0A9A,0ACD,0AB7,0A9A0ACD0AB7,gjCSSa,c_ssa-gujarati,uni0A9A0ACD0AB7,/,,
gujarati,uni,C,c,Sa,sa,CSa,c_sa,0A9A,0ACD,0AB8,0A9A0ACD0AB8,gjCSa,c_sa-gujarati,uni0A9A0ACD0AB8,/,,
