,,Initial (AGL),Initial,Final (AGL),Final,Conjunct (AGL),Conjunct,Initial Unicode,Halant Unicode,Final Unicode,,Name (AGL),Name,Prod. Name,Notes,GlyphData.xml,
gujarati,uni,K,k,Ta,ta,KTa,k_ta,0A95,0ACD,0AA4,0A950ACD0AA4,gjKTa,k_ta-gujarati,uni0A950ACD0AA4,Composite,"<glyph name=""k_ta-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AA4"" altnames=""gjKTa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,THa,tha,KTHa,k_tha,0A95,0ACD,0AA5,0A950ACD0AA5,gjKTHa,k_tha-gujarati,uni0A950ACD0AA5,/,,
gujarati,uni,K,k,Da,da,KDa,k_da,0A95,0ACD,0AA6,0A950ACD0AA6,gjKDa,k_da-gujarati,uni0A950ACD0AA6,/,,
gujarati,uni,K,k,DHa,dha,KDHa,k_dha,0A95,0ACD,0AA7,0A950ACD0AA7,gjKDHa,k_dha-gujarati,uni0A950ACD0AA7,/,,
gujarati,uni,K,k,Na,na,KNa,k_na,0A95,0ACD,0AA8,0A950ACD0AA8,gjKNa,k_na-gujarati,uni0A950ACD0AA8,Composite,"<glyph name=""k_na-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AA8"" altnames=""gjKNa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,Pa,pa,KPa,k_pa,0A95,0ACD,0AAA,0A950ACD0AAA,gjKPa,k_pa-gujarati,uni0A950ACD0AAA,Composite,"<glyph name=""k_pa-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AAA"" altnames=""gjKPa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,PHa,pha,KPHa,k_pha,0A95,0ACD,0AAB,0A950ACD0AAB,gjKPHa,k_pha-gujarati,uni0A950ACD0AAB,Composite,"<glyph name=""k_pha-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AAB"" altnames=""gjKPHa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,Ba,ba,KBa,k_ba,0A95,0ACD,0AAC,0A950ACD0AAC,gjKBa,k_ba-gujarati,uni0A950ACD0AAC,/,,
gujarati,uni,K,k,BHa,bha,KBHa,k_bha,0A95,0ACD,0AAD,0A950ACD0AAD,gjKBHa,k_bha-gujarati,uni0A950ACD0AAD,/,,
gujarati,uni,K,k,Ma,ma,KMa,k_ma,0A95,0ACD,0AAE,0A950ACD0AAE,gjKMa,k_ma-gujarati,uni0A950ACD0AAE,Composite,"<glyph name=""k_ma-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AAE"" altnames=""gjKMa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
